gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,11,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.88,928.58,No
Male,0,No,No,55,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,79.76,4405.62,Yes
Male,0,Yes,No,20,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,69.5,1378.79,No
Male,0,Yes,Yes,52,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,75.03,3918.06,No
Female,0,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,111.49,5476.84,Yes
Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.56,348.2,No
Male,0,No,No,42,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,84.27,3574.7,No
Male,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.44,1894.68,No
Female,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,83.3,544.52,No
Female,1,Yes,No,55,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,74.74,4141.43,No
Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,56.57,3474.93,No
Male,0,No,Yes,69,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.86,5763.82,No
Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.32,183.53,No
Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,71.2,897.12,Yes
Female,0,No,No,60,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),64.3,3867.44,No
Female,0,Yes,No,22,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,52.81,1172.28,No
Male,0,Yes,Yes,45,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,70.52,3166.49,Yes
Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,74.79,1830.79,Yes
Female,0,No,No,15,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,84.31,1281.17,Yes
Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),75.73,3374.75,No
Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),86.84,1278.73,Yes
Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.88,702.88,No
Female,0,No,No,38,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.99,3132.22,No
Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.82,1180.55,No
Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),102.29,1438.66,Yes
Male,1,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.32,1954.2,No
Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,110.51,4221.54,Yes
Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,106.64,4143.94,Yes
Female,1,Yes,No,10,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),64.49,614.81,No
Male,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,72.18,777.92,Yes
Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,109.48,3103.3,Yes
Male,0,No,No,28,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),76.52,2097.35,No
Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,100.41,3236.27,Yes
Male,0,No,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.72,517.82,No
Female,0,No,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.96,1598.08,No
Female,0,No,No,26,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),48.25,1220.74,No
Female,0,No,No,59,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.69,3329.53,No
Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,50.82,1464.48,No
Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.53,3898.66,Yes
Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.95,285.15,No
Male,1,No,No,49,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,84.68,4151.05,No
Female,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.34,173.09,No
Female,0,No,Yes,54,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),64.37,3478.99,No
Male,0,Yes,No,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.39,5965.73,No
Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),89.73,2336.02,No
Female,0,No,No,64,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.61,4303.33,No
Male,0,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,67.4,3469.33,No
Male,1,No,No,0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),56.6,9.55,No
Male,0,No,Yes,14,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,50.86,704.18,No
Male,1,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.21,1332.48,No
Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,54.99,2789.92,No
Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.25,177.53,No
Female,0,Yes,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),48.19,2330.15,No
Male,1,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.25,2115.75,No
Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.53,145.22,Yes
Female,0,Yes,No,64,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),50.2,3232.67,No
Male,0,No,No,38,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,79.26,3053.87,No
Female,0,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.24,1218.24,No
Female,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,70.71,203.26,No
Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.45,4244.56,Yes
Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.12,2727.82,No
Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),69.16,1895.81,Yes
Male,1,No,No,56,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,69.07,3818.92,No
Female,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),119.39,2163.13,Yes
Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.72,306.76,Yes
Male,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.59,3538.17,Yes
Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,88.96,4760.96,No
Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,104.74,941.82,No
Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,116.48,8307.28,Yes
Male,0,Yes,No,49,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.12,4513.01,No
Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,115.43,7871.29,No
Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.55,1677.17,No
Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),113.57,912.8,Yes
Male,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.96,482.3,No
Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.27,1088.59,No
Female,1,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.62,1619.04,No
Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,79.47,4164.03,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,93.07,5416.73,No
Female,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),94.07,5183.9,No
Male,1,No,No,42,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),102.32,4302.23,Yes
Female,1,No,Yes,1,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,58.15,79.6,No
Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),71.05,2705.13,No
Female,0,No,Yes,59,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),72.48,4268.99,No
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,110.93,6750.16,Yes
Male,0,Yes,Yes,60,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.04,2691.96,No
Female,1,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,73.48,1.83,No
Male,0,No,Yes,31,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),59.94,1845.58,No
Female,0,No,No,45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,55.16,2476.25,No
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.99,1723.67,Yes
Female,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.78,666.05,No
Female,1,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,108.91,756.0,Yes
Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.03,527.55,No
Male,0,No,No,0,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),52.42,0.0,No
Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,93.27,6598.99,No
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,54.77,3379.76,No
Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),57.26,1673.03,No
Male,1,No,Yes,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),55.37,0.0,No
Male,0,Yes,No,24,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,53.75,1276.41,Yes
Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.14,2345.75,No
Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.35,1052.99,Yes
Male,0,No,Yes,48,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,74.91,3582.59,No
Male,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.31,3084.66,No
Female,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),78.14,4766.19,Yes
Female,0,Yes,No,62,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,68.84,4254.56,Yes
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),76.65,4641.69,No
Male,0,No,Yes,5,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,53.87,286.27,No
Female,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.12,2082.53,No
Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,71.53,2979.58,No
Female,0,No,Yes,7,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.87,484.17,Yes
Female,0,No,No,10,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.74,486.86,Yes
Female,0,No,No,41,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.04,3278.1,No
Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,86.39,4492.36,No
Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,88.03,1361.95,No
Female,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.0,1475.64,No
Male,0,Yes,Yes,5,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,47.06,253.94,Yes
Male,0,No,No,8,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),79.24,600.26,No
Male,0,No,No,42,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,54.27,2269.88,No
Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.07,3850.91,No
Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.93,4959.18,Yes
Male,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.27,3486.84,No
Female,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,118.05,1570.1,No
Female,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,59.11,1383.74,Yes
Female,1,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.83,1282.91,No
